refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
AXOREM,ok,,72,18,18,72,P 2_1/c,81,1,0,2.02307306709e-15,0,4.13580281133e-16
AXORIQ,ok,,120,15,15,120,P bca,290,3,0,1.71714494475e-15,0,0
AXOSOW,ok,,64,8,8,64,P bca,290,3,1.44328993201e-15,1.66533453694e-15,0,0
AXUBUR01,ok,,28,14,14,28,P 2_1,6,1,0,1.33226762955e-15,0,8.56158893781e-17
AXUDED,ok,,144,18,18,144,P bca,290,3,1.82570008494e-15,1.72701359386e-15,0,0
AYAVOM,ok,,84,21,21,84,P 2_1/c,81,1,0,2.36847578587e-15,0,1.566102803e-15
AYOHEB,ok,,144,18,18,144,P bca,290,3,1.72701359386e-15,2.02307306709e-15,0,0
AYOHOL01,ok,,64,16,16,64,P 2_12_12_1,115,3,8.881784197e-16,1.60982338571e-15,0,0
AYOHUR,ok,,18,18,18,18,P 1,1,0,0,2.02307306709e-15,0,4.47442083384e-16
AYOJAZ,ok,,72,18,18,72,P 2_12_12_1,115,3,1.57898385724e-15,1.72701359386e-15,0,0
AYUBUS,ok,,46,23,23,46,P -1,2,0,0,2.43283654092e-15,0,1.93283167249e-15
AYUMUD,ok,,34,17,17,34,P 2_1,6,1,0,1.82860262879e-15,0,0
AYUXAU,ok,,128,32,32,128,P 2_1/c,81,1,0,1.83186799063e-15,0,2.83352131755e-15
AYUZAW,ok,,128,32,32,128,P 2_1/c,81,1,0,1.55431223448e-15,0,1.01926245222e-15
AZANIB,ok,,128,32,32,128,P 2_1/c,81,1,0,1.38777878078e-15,0,1.61010527827e-17
AZAZEI,ok,,60,15,8,60,C 2/c,90,1,1.65793305011e-15,3.07901852163e-15,0,1.08636138753e-15
AZCFOM01,ok,,28,14,7,28,P 2_1/c,81,1,1.39570894524e-15,1.7763568394e-15,0,4.10016465224e-16
AZERUU,ok,,136,17,17,136,C 2/c,90,1,1.67186526061e-15,2.6906581538e-15,0,3.43666944816e-15
AZIBER,ok,,28,14,14,28,P 2_1,6,1,0,1.20538499816e-15,0,4.22928359001e-16
AZPACN,ok,,44,22,11,44,P 2_1/c,81,1,1.7763568394e-15,2.0185873175e-15,0,1.06067932215e-16
AZUDIJ,ok,,96,24,24,96,P 2_1/c,81,1,0,1.66533453694e-15,0,1.00720543017e-15
BACJUN,ok,,40,20,10,40,P 2_1/c,81,1,1.59872115546e-15,2.30926389122e-15,0,2.20376139995e-15
BADAMN10,ok,,50,50,25,50,P -1,2,0,0,1.75859327101e-15,0,1.45012890584e-15
BAFLEZ,ok,,38,19,19,38,P -1,2,0,0,3.08525135264e-15,0,2.45987873875e-15
BAFLUR,ok,,88,22,22,88,P 2_1/c,81,1,0,2.64434938593e-15,0,3.96507404564e-15
BAGFIY,ok,,64,16,16,64,P 2_1/c,81,1,0,1.83186799063e-15,0,2.29127827822e-15
BAGFIY01,ok,,128,16,16,128,P bca,290,3,0,1.47104550763e-15,0,0
BAGRAC,ok,,208,26,26,208,P bcn,284,3,1.7080354225e-15,1.87883896475e-15,0,0
BAGYIR,ok,,56,14,14,56,P ca2_1,143,3,1.01506105109e-15,1.58603289232e-15,0,0
BAHCUI,ok,,184,23,23,184,P bca,290,3,2.20113782274e-15,2.2783707288e-15,0,0
BAKQUA,ok,,52,26,26,52,P 2_1,6,1,0,1.7763568394e-15,0,1.94977367585e-15
BAPBUQ,ok,,108,27,27,108,P 2_1/c,81,1,1.11844689888e-15,1.7763568394e-15,0,1.34114941375e-15
BAPBUQ03,ok,,108,27,27,108,P 2_12_12_1,115,3,0,1.6447748513e-15,0,0
BAPOCM10,ok,,48,48,24,48,P -1,2,0,0,2.40548322002e-15,0,2.15780622344e-15
BAQLUD,ok,,76,19,19,76,P 2_1/c,81,1,0,2.15032670033e-15,0,1.37734268435e-15
BARKAH,ok,,84,21,21,84,P 2_1/c,81,1,1.7763568394e-15,4.18712683573e-15,0,5.73931289168e-15
BASCON01,ok,,112,28,28,112,P 2_1/c,81,1,0,1.61775355017e-15,0,1.27269306205e-15
BAWNIW,ok,,56,14,14,56,P 2_1/c,81,1,0,2.60109394341e-15,0,2.74813505285e-15
BAWNIW02,ok,,84,42,42,84,P 2_1,6,1,0,3.0028889428e-15,0,4.5267123383e-15
BAWVAW,ok,,84,21,21,84,P 2_1/c,81,1,0,2.74912368002e-15,0,3.55782070471e-15
BAYJUG,ok,,120,30,30,120,P 2_1/c,81,1,0,1.89478062869e-15,0,1.99147952408e-15
BAYXAD,ok,,104,26,26,104,C c,39,1,1.38350869223e-15,2.47665136263e-15,0,2.19547813768e-15
BAZOCT,ok,,96,24,24,96,P 2_1/c,81,1,0,1.64683081986e-15,0,1.08402176124e-15
BAZPUO,ok,,52,26,26,52,P -1,2,0,0,3.02322269783e-15,0,3.03909619236e-15
BAZSEA,ok,,64,16,16,64,P 2_1/c,81,1,0,1.55431223448e-15,0,1.72778458207e-16
BCODYN01,ok,,96,24,24,96,P 2_1/c,81,1,0,1.75785312232e-15,0,3.38451489057e-16
BCPROP02,ok,,64,16,5,64,C mce,304,3,1.99840144433e-15,2.10942374679e-15,0,9.99557641137e-32
BCYOAN10,ok,,92,23,23,92,P 2_1/c,81,1,0,2.12390491667e-15,0,7.2541972429e-16
BEBXOV,ok,,76,19,19,76,P 2_1/c,81,1,0,2.24381916556e-15,0,4.24660306919e-16
BEGCOF,ok,,120,30,30,120,P 2_1/c,81,1,0,2.45729362784e-15,0,1.48103751485e-15
BEGPEJ,ok,,48,24,24,48,P c,21,1,0,1.72084568817e-15,0,4.47086812017e-16
BEGPIN,ok,,192,24,24,192,C 2/c,90,1,1.73934940525e-15,1.96139401017e-15,0,1.26498811426e-15
BEJWAR,ok,,76,19,19,76,P 2_12_12_1,115,3,0,1.91659553725e-15,0,0
BEKBOI,ok,,64,16,16,64,P na2_1,164,3,0,1.44328993201e-15,0,0
BEKFEF,ok,,32,16,8,32,P 2_1/c,81,1,1.33226762955e-15,2.22044604925e-15,0,1.17372778163e-15
BEKLIP,ok,,50,25,25,50,P -1,2,0,0,1.31450406116e-15,0,1.61841651192e-15
BELBUP02,ok,,56,14,14,56,P 2_1/c,81,1,0,2.09356341786e-15,0,9.50541006312e-16
BELBUP03,ok,,56,14,14,56,P ca2_1,143,3,1.14194368247e-15,1.52259157663e-15,0,0
BELBUP04,ok,,112,14,14,112,C 2/c,90,1,1.71291552371e-15,1.71291552371e-15,0,3.05844238824e-16
BEMKAI,ok,,64,16,16,64,P 2_1/c,81,1,0,1.60982338571e-15,0,4.09061673423e-16
BENAFP,ok,,64,16,16,64,P 2_1/c,81,1,0,1.44328993201e-15,0,2.68118860447e-16
BENZAC12,ok,,60,15,15,60,P 2_1/c,81,1,0,1.48029736617e-15,0,3.00592883917e-16
BENZEN06,ok,,48,12,6,48,P bca,290,3,1.92438657602e-15,1.7763568394e-15,0,0
BERPIX,ok,,124,31,31,124,P 2_12_12_1,115,3,9.16829336465e-16,1.31794217117e-15,0,0
BESGEL,ok,,92,23,23,92,P 2_12_12_1,115,3,1.73774038637e-15,1.81497329243e-15,0,0
BESKAL04,ok,,68,17,17,68,P 2_1/c,81,1,0,1.51512789243e-15,0,6.17184081619e-16
BESPOF,ok,,72,18,18,72,P 2_1/c,81,1,1.72701359386e-15,2.12175955817e-15,0,1.89117338811e-15
BETBEH10,ok,,80,20,20,80,P 2_1/c,81,1,0,1.68753899743e-15,0,5.26245713672e-17
BETBOR,ok,,72,18,18,72,P 2_1/c,81,1,0,1.7763568394e-15,0,7.04936109486e-16
BETBUX,ok,,72,18,18,72,P 2_1/c,81,1,0,1.92438657602e-15,0,1.04249942012e-15
BETMET,ok,,60,15,15,60,P 2_12_12_1,115,3,1.06581410364e-15,1.42108547152e-15,0,0
BETXOQ,ok,,72,18,18,72,P 2/c,72,1,0,2.36847578587e-15,0,1.61546331867e-15
BEXHOE,ok,,68,17,17,68,P na2_1,164,3,1.46288210304e-15,1.61961947122e-15,0,0
BEYDEO01,ok,,72,18,18,72,P 2_1/c,81,1,0,1.87504333048e-15,0,8.58291215877e-16
BEZSAC,ok,,68,17,17,68,P 2_1/c,81,1,0,1.88084841819e-15,0,0
BEZWIM,ok,,84,21,21,84,P 2_12_12_1,115,3,1.60717999755e-15,1.86094526032e-15,0,0
BIBREL,ok,,64,16,16,64,P 2_1/c,81,1,0,1.7763568394e-15,0,1.56703539034e-15
BICVIS,ok,,72,18,18,72,P 2_1/c,81,1,0,1.94905819879e-15,0,8.93729534823e-16
BIGUAN01,ok,,56,14,14,56,P 2_1/c,81,1,0,2.09356341786e-15,0,2.1932343714e-15
BIJVEY,ok,,48,12,12,48,P 2_1/c,81,1,0,1.99840144433e-15,0,5.73430192219e-16
BIKCII,ok,,48,24,24,48,P -1,2,0,0,2.44249065418e-15,0,9.94064266938e-16
BILHOV,ok,,38,19,19,38,P 2_1,6,1,0,2.10358046771e-15,0,5.78315173527e-16
BIPTID01,ok,,76,19,19,76,P 2_1/c,81,1,0,2.0568342351e-15,0,1.01293973209e-16
BIPYRL04,ok,,40,20,10,40,P 2_1/c,81,1,1.7763568394e-15,1.7763568394e-15,0,3.04545277885e-16
BIRQOL,ok,,136,34,34,136,P 2_1/c,81,1,0,2.11595447046e-15,0,1.9023009162e-15
BIRYIM,ok,,48,24,24,48,P -1,2,0,0,1.73934940525e-15,0,2.51648701877e-15
BITVUV,ok,,48,12,12,48,P 2_1/c,81,1,0,1.85037170771e-15,0,9.4860785893e-16
BIXJAU,ok,,64,16,16,64,P 2_12_12_1,115,3,0,1.60982338571e-15,0,0
BIZQEJ,ok,,124,31,31,124,P 2_1/c,81,1,0,2.82211530131e-15,0,4.27053150123e-15
BNORBN11,ok,,144,36,36,144,P 2_1/c,81,1,0,1.94905819879e-15,0,7.57205409485e-16
