refcode,output
UDUXEY,UDUXEY.cif
UKUNAR,UKUNAR.cif
UMIQEO,UMIQEO.cif
USUMOL,USUMOL.cif
UTODOX,UTODOX.cif
VAFFUF,VAFFUF.cif
VALVAG,VALVAG.cif
VAZGIM,VAZGIM.cif
VEHCET,VEHCET.cif
VEPXOG,VEPXOG.cif
VINSAN,VINSAN.cif
VINWUM,VINWUM.cif
VINXAT,VINXAT.cif
VINXEX,VINXEX.cif
VORKUJ,VORKUJ.cif
VUCJAH,VUCJAH.cif
VUTWAL,VUTWAL.cif
WERNUF01,WERNUF01.cif
WESBEB,WESBEB.cif
WESBEB01,WESBEB01.cif
WIXKOF,WIXKOF.cif
WOPCEM,WOPCEM.cif
WULPEZ,WULPEZ.cif
WULPID,WULPID.cif
XAFVEH,XAFVEH.cif
XAGWIM,XAGWIM.cif
XAKPAC01,XAKPAC01.cif
XAPCAS,XAPCAS.cif
XAXCOQ03,XAXCOQ03.cif
XEZHAM,XEZHAM.cif
XEZHEQ,XEZHEQ.cif
XOGJEK,XOGJEK.cif
XOPSED,XOPSED.cif
XORSIJ,XORSIJ.cif
XOYDIB,XOYDIB.cif
XOYJED,XOYJED.cif
XOZFOK,XOZFOK.cif
XOZNIM,XOZNIM.cif
XUCKEN,XUCKEN.cif
XUMBIT,XUMBIT.cif
XUMCIU,XUMCIU.cif
XUPPEE,XUPPEE.cif
YAFHUI,YAFHUI.cif
YELLIN,YELLIN.cif
YICFEX,YICFEX.cif
YICFEX01,YICFEX01.cif
YIFGAW,YIFGAW.cif
YINTUK,YINTUK.cif
YIQBIK,YIQBIK.cif
YOTTOT,YOTTOT.cif
ZAPGII,ZAPGII.cif
ZAQFAB,ZAQFAB.cif
ZEFPUX,ZEFPUX.cif
ZOBKAC,ZOBKAC.cif
ZUCMUI,ZUCMUI.cif
ZUCNAP,ZUCNAP.cif
ZUJRII,ZUJRII.cif
ZUJSIJ,ZUJSIJ.cif
ZUJWEJ,ZUJWEJ.cif
ZUNMOM,ZUNMOM.cif
ZZZBLP02,ZZZBLP02.cif
ZZZBLP03,ZZZBLP03.cif
ZZZDQA01,ZZZDQA01.cif
ZZZKPE03,ZZZKPE03.cif
ZZZLWW03,ZZZLWW03.cif
